acpi 1.7-3
acpid 2.0.33-1
activitywatch-bin 0.11.0-3
adobe-source-han-sans-jp-fonts 2.004-1
alacritty-sixel-git 1:0.11.0.1983.gf6f2fe53-1
alsa-utils 1.2.6-1
amd-ucode 20220309.cd01f85-1
amdvlk 2022.Q2.1-1
arandr 0.1.10-7
arc-gtk-theme 20220405-1
arc-icon-theme 20161122-3
archivetools 3-3
aria2 1.36.0-1
asciinema 2.1.0-2
aseprite-skia-bin 1.2.31-1
asio 1.20.0-1
aspell 0.60.8-2
aspell-en 2020.12.07-1
aspell-tr 0.50-3
at 3.2.5-1
atool 0.39.0-8
autoconf 2.71-1
automake 1.16.5-1
backintime 1.3.2-1
backintime-cli 1.3.2-1
bandwhich 0.20.0-1
base 2-2
bash-language-server 2.0.0-5
bat 0.20.0-1
bc 1.07.1-4
bear 3.0.19-2
benchmark 1.6.1-2
bfs 2.5-1
bison 3.8.2-3
bluez 5.64-2
bluez-utils 5.64-2
boost 1.78.0-1
bottom 0.6.8-1
brave-bin 1:1.36.119-1
bsdmainutils 12.1.7-1
btop 1.2.5-1
calcurse 4.7.1-2
cargo-flamegraph 0.4.0-1
caribou 0.4.21+75+g8ad9883-3
catch2 2.13.8-1
catimg 2.7.0-1
ccache 4.6-1
cgdb 0.8.0-1
cheese 41.1-2
circle build_163-1
clang 13.0.1-2
clazy 1.11-1
cling-bin 1:2020.11.05-2
cmake 3.23.0-1
cmake-init 0.27.4-1
cmatrix 2.0-2
codespell 2.1.0-2
conan 1.47.0-1
contour-git 0.3.0.r2525.7949a5eb-1
copyq 6.1.0-1
cppcheck 2.7.4-1
cpupower 5.17-1
cpupower-gui 1.0.0-5
csfml 2.5.1-1
ctags 1:5.9.20210905.0-1
cxx 3.3.1-1
debuginfod 0.186-5
deno 1.20.5-1
devtools 20220207-2
dialog 1:1.3_20220117-1
dict-gcide 0.53-1
dictd 1.13.1-2
dijo 0.2.7-1
discord 0.0.17-1
diskus 0.7.0-2
dmd 1:2.099.0-1
dmenu 5.1-1
dmidecode 3.3-1
dosfstools 4.2-2
downgrade 11.1.0-1
drawio-desktop-bin 17.2.1-1
dtools 2.099.0-1
dua-cli 2.17.1-1
dub 1.27.0-2
dunst 1.8.1-1
dust 0.8.0-1
efibootmgr 17-2
eigen 3.4.0-1
espeak-ng 1.51-1
espeakup 0.90-1
eva 0.3.0-1
evcxr_repl 0.12.0-3
